iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,3819313,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1375229.3128165188,3794004.606070259
SDN,Sudan,3126814,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1232057.6625510207,3029103.114732447
YEM,Yemen,2549048,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,752511.4369219588,1877746.457153089
UKR,Ukraine,2717961,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,226141.63303667575,1011342.3836584755
MLI,Mali,672422,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,509594.1391493236,968868.670420218
AFG,Afghanistan,904043,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,439835.3899555146,912048.6900313715
SSD,South Sudan,952481,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,443779.9495399956,880434.0675325374
SOM,Somalia,883251,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,314893.9177597406,870613.5759392781
COD,Democratic Republic of the Congo,475869,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,362351.5586454143,688708.0748607917
NGA,Nigeria,433026,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,322175.18308044545,600976.5220828222
BFA,Burkina Faso,382479,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,310353.7110185121,529447.7488255564
COL,Colombia,231358,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,217571.83569183171,382644.74971899623
CAF,Central African Republic,257761,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,79811.08054634616,215209.2875378579
NER,Niger,130964,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,48933.84969362943,125211.96895019771
